number_of_image,number_of_rows,number_of_columns,length_of_line,square_of_image,form_factor,elongation_of_image
1,88,86,296,309,283.546925566343,0.987951807228916
2,123,173,656,658,654.006079027356,1.67708333333333
3,105,157,472,483,461.250517598344,1.5049504950495
4,118,91,517,536,498.673507462687,0.714285714285714
5,96,88,306,322,290.795031055901,0.922222222222222
6,148,89,436,467,407.057815845824,0.62962962962963
7,164,153,591,616,567.01461038961,0.980263157894737
8,102,81,353,357,349.044817927171,0.827956989247312
